Operator,Status,Well Type,Work Type,Directional Status,Multi-Lateral,Mineral Owner,Surface Owner,Surface Location,GL Elevation,KB Elevation,DF Elevation,Single/Multiple Completion,Potash Waiver,Spud Date,Last Inspection,TVD,API,Latitude,Longitude,CRS
"LH Operating, LLC",Active,Oil,New,Vertical,No,Federal,Federal,N-20-17S-31E 1305 FSL 1350 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,12/30/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/07/2021 Current APD Expiration: 01/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/07/2021,,3001526596,32.8163872,-103.8961029,NAD83
"LH Operating, LLC",Active,Oil,New,Vertical,No,Federal,Federal,N-20-17S-31E 1140 FSL 2560 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,01/18/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,04/19/2023 Current APD Expiration: 02/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 04/19/2023,,3001526611,32.815937,-103.8921585,NAD83
"LH Operating, LLC",Active,Oil,New,Vertical,No,Federal,Federal,L-20-17S-31E 2610 FSL 1000 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,01/17/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,06/12/2020 Current APD Expiration: 02/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 06/12/2020,,3001526612,32.819973,-103.8972549,NAD83
"MAVERICK OPERATING, LLC",Active,Oil,New,Vertical,No,State,State,M-36-21S-30E 330 FSL 330 FWL,3249,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 7625,02/07/1991 Approved TA: Shut In: Plug & Abandoned Intent: 07/18/2025 Well Plugged: Site Release:,08/01/2025 Current APD Expiration: 05/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 08/01/2025,,3001526626,32.4293327,-103.841629,NAD83
OXY USA INC,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,F-10-23S-28E 2310 FNL 2260 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,03/23/1991 Approved TA: Shut In: Plug & Abandoned Intent: 11/07/2023 Well Plugged: 05/06/2024 Site Release: 05/06/2024,08/21/2024 Current APD Expiration: 05/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: 05/06/2025 Last MIT / BHT: 08/21/2024,,3001526649,32.3209839,-104.0763931,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,K-12-18S-31E 2310 FSL 1980 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: COMANCHE A FED Original Operator Name: COMANCHE A FED SOUTHLAND ROYALTY C/COMANCHE A FED Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526652,32.7612032117157,-103.825155365439,NAD83
BURLINGTON RESOURCES OIL & GAS CO,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,P-03-19S-30E 1140 FSL 330 FEL,3411,,,Single,No C-129 Incidents: 0 GRAYBURG Proposed: 3500 Measured Vertical Depth: 3300,05/03/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 05/08/1991 Site Release:,Current APD Expiration: 02/21/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526653,32.6852913,-103.9523544,NAD83
MEWBOURNE OIL CO,Active,Oil,New,Vertical,No,State,State,L-02-18S-30E 1980 FSL 660 FWL,3518,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 7235,03/13/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,07/27/2018 Current APD Expiration: 06/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526654,32.7746735,-103.9490662,NAD83
EOG RESOURCES INC,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,B-01-22S-31E Lot: 2 660 FNL 1980 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8500,04/02/1991 Approved TA: Shut In: Plug & Abandoned Intent: 03/26/2025 Well Plugged: 10/24/2025 Site Release: 10/24/2025,09/15/2022 Current APD Expiration: 05/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: 10/24/2026 Last MIT / BHT: 09/15/2022,,3001526698,32.4260063,-103.7293396,NAD83
"RUBICON OIL & GAS, LLC",Active,Oil,New,Vertical,No,Private,Private,P-21-23S-28E 330 FSL 330 FEL,3029,,,Single,No C-129 Incidents: 0 DELAWARE Proposed: 6650 Measured Vertical Depth: 6650,04/25/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/25/2025 Current APD Expiration: 04/18/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/25/2025,,3001526714,32.2843513,-104.0848694,NAD83
EOG RESOURCES INC,Active,Oil,New,Vertical,No,State,State,K-36-21S-31E 1980 FSL 1980 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8450,11/19/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/15/2022 Current APD Expiration: 12/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/15/2022,,3001526715,32.4332657,-103.7336121,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,P-07-17S-30E 330 FSL 990 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: RANDALL FED Original Operator Name: RANDALL FED MARBOB ENERGY CORP /RANDALL FED Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,05/24/2012 Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526717,32.8427972218989,-104.006025554343,NAD83
PERMIAN CORP,"Plugged, Site Released",Brine,New,Vertical,No,Federal,Federal,B-33-21S-27E 2450 FSL 1650 FEL,3500,,,Single,No C-129 Incidents: 0 PLUGGED & ABANDON Proposed: 600 Measured Vertical Depth: 600,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 12/18/1991 Site Release: 12/18/1991,Current APD Expiration: 02/18/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526733,32.4358978,-104.1917038,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,B-26-20S-24E 860 FNL 1980 FEL,3650,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8112,02/02/1993 Approved TA: Shut In: Plug & Abandoned Intent: 05/18/2015 Well Plugged: 08/31/2015 Site Release: 08/31/2015,02/25/2022 Current APD Expiration: 02/01/1995 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 02/25/2022,,3001526736,32.5494728,-104.5568314,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,D-14-19S-31E 330 FNL 990 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: ARRINGTON FED Original Operator Name: ARRINGTON FED DAVID H ARRINGTON O/ARRINGTON FED Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526757,32.6668565330375,-103.845389315357,NAD83
CONOCOPHILLIPS COMPANY,Active,Injection,New,Vertical,No,State,State,P-02-22S-30E 1250 FSL 1150 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 7510,09/28/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,05/21/2026 Current APD Expiration: 03/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 05/21/2026,,3001526761,32.4173279,-103.8466568,NAD83
"EOG Y RESOURCES, INC.",Cancelled Apd,Oil,New,,No,Private,Private,K-08-19S-25E 1650 FSL 1980 FWL,3557,,,Single,No C-129 Incidents: 0 UPPER PENN Proposed: 8100 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 02/10/1996 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526823,32.67255,-104.50866,NAD83
PRONGHORN MANAGEMENT CORP,"Plugged, Site Released",Oil,New,Vertical,No,State,State,M-17-19S-29E 330 FSL 330 FWL,3361,,,Single,No C-129 Incidents: 0 P&A 04/28/2010 Proposed: 2150 Measured Vertical Depth: 2048,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 04/28/2010 Site Release:,06/03/2010 Current APD Expiration: 03/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526837,32.6545219,-104.104538,NAD83
SEP Legacy LLC,Active,Oil,Deepen,Vertical,No,State,Private,J-21-17S-29E 2080 FSL 2615 FEL,3596,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 4450,09/22/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,04/23/2026 Current APD Expiration: 03/01/2008 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 04/23/2026,,3001526838,32.8185196,-104.0797501,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Private,J-02-21S-28E 2541 FNL 1980 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: DESERT STORM ST Original Operator Name: DESERT STORM ST MANZANO OIL CORP /DESERT STORM ST Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526853,32.5156501265173,-104.055317353738,NAD83
Extex Operating Company,Active,Oil,New,Vertical,No,State,State,E-01-22S-31E 1980 FNL 535 FWL,3558,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8409,10/17/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/15/2022 Current APD Expiration: 01/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/15/2022,,3001526855,32.4223785,-103.7383041,NAD83
OXY USA INC,Active,Oil,New,Vertical,No,Federal,Federal,N-01-22S-31E 990 FSL 1880 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,03/11/1992 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/15/2022 Current APD Expiration: 04/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/15/2022,,3001526910,32.4160233,-103.7339554,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,State,State,P-16-22S-28E 760 FSL 990 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: DINERO ST COM Original Operator Name: DINERO ST COM DINERO OPERATING CO/DINERO ST COM Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526911,32.3876305,-104.0872803,NAD83
"DEVON ENERGY PRODUCTION COMPANY, LP","Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,I-23-23S-31E 1800 FSL 900 FEL,3471,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8330,02/11/1992 Approved TA: Shut In: Plug & Abandoned Intent: 03/12/2018 Well Plugged: 07/16/2020 Site Release: 07/16/2020,08/03/2020 Current APD Expiration: 04/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 08/03/2020,,3001526928,32.2875786,-103.7429657,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Injection,New,Vertical,No,Federal,Federal,A-19-19S-25E 860 FNL 860 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 09/07/2010 Site Release:,04/19/2012 Current APD Expiration: 05/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 07/07/2010,,3001526937,32.6513672,-104.5183487,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Oil,New,Vertical,No,Federal,Private,C-20-19S-25E 660 FNL 1980 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8365,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 10/05/2010 Site Release:,04/19/2012 Current APD Expiration: 03/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526938,32.6519089,-104.5047989,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Gas,New,Vertical,No,Federal,Private,D-13-22S-23E 330 FNL 330 FWL,4029,,,Single,No C-129 Incidents: 0 P&A 12-5-12 Proposed: 0 Measured Vertical Depth: 7800,02/02/1995 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 12/05/2012 Site Release:,03/28/2012 Current APD Expiration: 06/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526939,32.3971939,-104.5613937,NAD83
OXY USA INC,Active,Oil,New,Vertical,No,Federal,Federal,E-26-22S-31E 1980 FNL 330 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,03/29/1992 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/23/2024 Current APD Expiration: 04/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/23/2024,,3001526940,32.3642349,-103.7561111,NAD83
EOG RESOURCES INC,"Plugged, Site Released",Oil,Plugback,Vertical,No,Federal,Private,F-20-19S-25E 1980 FNL 1980 FWL,3565,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 9420,03/16/2008 Approved TA: Shut In: Plug & Abandoned Intent: 02/08/2019 Well Plugged: 05/14/2019 Site Release: 05/14/2019,07/18/2018 Current APD Expiration: 05/09/2009 Gas Capture Plan: TA Expiration: PNR Expiration: 05/14/2020 Last MIT / BHT:,,3001526945,32.6482811,-104.5091095,NAD83
EOG RESOURCES INC,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,A-11-22S-31E 660 FNL 330 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8410,03/09/1992 Approved TA: Shut In: Plug & Abandoned Intent: 10/17/2019 Well Plugged: 01/03/2020 Site Release: 01/03/2020,02/13/2017 Current APD Expiration: 04/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: 01/03/2021 Last MIT / BHT:,,3001526960,32.4114952,-103.7411194,NAD83
"RILEY PERMIAN OPERATING COMPANY, LLC",Active,Oil,New,Vertical,No,Private,Private,G-08-19S-25E 1980 FNL 1980 FEL,3553,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8200,04/15/1992 Approved TA: Shut In: Plug & Abandoned Intent: 06/27/2016 Well Plugged: Site Release:,08/05/2024 Current APD Expiration: 05/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 08/05/2024,,3001526978,32.6775208,-104.5048065,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Oil,New,Vertical,No,Private,Private,L-25-20S-24E 1980 FSL 660 FWL,3614,,,Single,No C-129 Incidents: 0 P&A 02/15/10 LOC REL 4-3-12 Proposed: 0 Measured Vertical Depth: 8170,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 02/15/2010 Site Release:,04/03/2012 Current APD Expiration: 06/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: 02/16/2011 Last MIT / BHT:,,3001526990,32.5426254,-104.5482864,NAD83
"XTO ENERGY, INC","Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,G-13-23S-29E 1750 FNL 1850 FEL,2998,,,Single,No C-129 Incidents: 0 BRUSHY CANYON Proposed: 7198 Measured Vertical Depth: 7198,12/07/1992 Approved TA: Shut In: Plug & Abandoned Intent: 11/07/2022 Well Plugged: 03/15/2023 Site Release: 03/15/2023,11/10/2022 Current APD Expiration: 12/29/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 11/10/2022,,3001526992,32.3075447,-103.9356689,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,B-11-20S-24E 660 FNL 1980 FEL,,,,Single,No C-129 Incidents: 0 P&A 06-18-2007 Proposed: 0 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 06/18/2007 Site Release:,06/05/2007 Current APD Expiration: 07/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001527014,32.593853,-104.5566559,NAD83
Extex Operating Company,Active,Oil,New,Vertical,No,Federal,Federal,D-10-18S-31E 990 FNL 660 FWL,3717,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 4350,11/08/1992 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/10/2020 Current APD Expiration: 02/01/1995 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/10/2020,,3001527025,32.7665977,-103.8638382,NAD83
"WPX Energy Permian, LLC","Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,I-35-22S-28E 1946 FSL 626 FEL,3107,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 6360,06/14/1992 Approved TA: Shut In: Plug & Abandoned Intent: 12/02/2016 Well Plugged: 01/12/2017 Site Release: 01/31/2017,02/23/2016 Current APD Expiration: 07/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: 01/12/2018 Last MIT / BHT:,,3001527026,32.347332,-104.0515976,NAD83
EOG RESOURCES INC,"Plugged, Site Released",Oil,Plugback,Vertical,No,Private,Private,B-14-20S-24E 710 FNL 1980 FEL,3616,,,Single,"No C-129 Incidents: 0 CEMETARY; WOLFCAMP, GAS Proposed: 0 Measured Vertical Depth: 8175",01/04/1993 Approved TA: Shut In: Plug & Abandoned Intent: 04/18/2017 Well Plugged: 06/07/2017 Site Release: 01/07/2021,01/06/2021 Current APD Expiration: 02/18/2010 Gas Capture Plan: TA Expiration: PNR Expiration: 06/07/2018 Last MIT / BHT: 01/06/2021,,3001527027,32.5790901,-104.5566864,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Gas,New,Vertical,No,Private,Private,E-17-18S-26E 2162 FNL 660 FWL,3404,,,,No C-129 Incidents: 0 P&A 20-10-2006 Proposed: 9100 Measured Vertical Depth: 9050,07/06/1992 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 02/10/2006 Site Release:,12/11/2006 Current APD Expiration: 06/16/1994 Gas Capture Plan: TA Expiration: PNR Expiration: 12/13/2007 Last MIT / BHT:,,3001527028,32.7492676,-104.4105759,NAD83
OXY USA WTP LIMITED PARTNERSHIP,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,E-34-21S-24E 1980 FNL 990 FWL,3763,,,Single,No C-129 Incidents: 0 P&A 02/12/2014 Proposed: 0 Measured Vertical Depth: 10034,07/13/1992 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 02/12/2014 Site Release:,05/15/2013 Current APD Expiration: 01/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001527046,32.4379082,-104.4914093,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Injection,New,,No,Federal,Private,H-19-19S-25E 1980 FNL 660 FEL,3582,,,Single,No C-129 Incidents: 0 UPPER PENN PA 10/26/10 Proposed: 8300 Measured Vertical Depth: 8275,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 10/26/2010 Site Release:,04/19/2012 Current APD Expiration: 01/14/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 07/07/2010,,3001527053,32.6482849,-104.5176926,NAD83
"BTA OIL PRODUCERS, LLC",Active,Oil,New,Vertical,No,Federal,Federal,P-03-23S-28E 990 FSL 660 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 6350,09/15/1992 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,02/21/2022 Current APD Expiration: 10/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 02/21/2022,,3001527083,32.3300705,-104.0686493,NAD83
CHEVRON U S A INC,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,E-24-22S-31E 1650 FNL 990 FWL,3545,,,Single,No C-129 Incidents: 0 DELAWARE Proposed: 8450 Measured Vertical Depth: 8550,05/29/1996 Approved TA: Shut In: Plug & Abandoned Intent: 10/24/2025 Well Plugged: 02/23/2026 Site Release: 02/23/2026,09/28/2022 Current APD Expiration: 08/12/1994 Gas Capture Plan: TA Expiration: PNR Expiration: 02/23/2027 Last MIT / BHT: 09/28/2022,,3001527084,32.3796883,-103.7368698,NAD83
BILL TAYLOR,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,R-05-21S-27E Lot: 12 2310 FSL 1650 FEL,3294,,,Single,No C-129 Incidents: 0 P&A 11/27/2009 Proposed: 560 Measured Vertical Depth: 583,05/28/1993 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 11/27/2009 Site Release:,06/09/2009 Current APD Expiration: 08/12/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001527085,32.5083046,-104.2086639,NAD83
"WPX Energy Permian, LLC",Active,Oil,New,Vertical,No,State,State,F-36-22S-28E 1980 FNL 1650 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 6390,09/03/1992 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,01/15/2019 Current APD Expiration: 12/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 01/15/2019,,3001527093,32.3510933,-104.0444183,NAD83
