Operator,Status,Well Type,Work Type,Directional Status,Multi-Lateral,Mineral Owner,Surface Owner,Surface Location,GL Elevation,KB Elevation,DF Elevation,Single/Multiple Completion,Potash Waiver,Spud Date,Last Inspection,TVD,API,Latitude,Longitude,CRS
SPECIAL ENERGY CORP,Active,Oil,New,Vertical,No,Federal,Federal,H-06-18S-31E 1980 FNL 990 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8380,05/30/1988 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/08/2022 Current APD Expiration: 08/01/1990 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/08/2022,,3001525917,32.7783661,-103.9035797,NAD83
CANYON E & P COMPANY,Reclamation Fund Approved,Oil,New,Vertical,No,Federal,Federal,O-04-16S-31E 330 FSL 1650 FEL,4216,,,Single,No C-129 Incidents: 0 GRYB-SA Proposed: 3650 Measured Vertical Depth: 3670,08/04/1988 Approved TA: Shut In: Plug & Abandoned Intent: 01/09/2020 Well Plugged: Site Release:,11/21/2023 Current APD Expiration: 11/01/1990 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 11/21/2023,,3001525943,32.9444923,-103.8715591,NAD83
SAMSON RESOURCES CO,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,F-19-22S-26E 1550 FNL 1980 FWL,3409,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 03/22/1995 Site Release:,Current APD Expiration: 10/01/1990 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525952,32.3802795,-104.3342438,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,State,State,N-36-17S-30E 660 FSL 1980 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: AMOCO ST Original Operator Name: AMOCO ST ANADARKO /AMOCO ST Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525961,32.7856064,-103.9275894,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,O-14-18S-31E 510 FSL 2080 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: SWEARINGEN DEEP 14 F Original Operator Name: SWEARINGEN DEEP 14 F ARCO OIL & GAS CO /SWEARINGEN DEEP 14 F Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525963,32.7417255173066,-103.838400549265,NAD83
"BTA OIL PRODUCERS, LLC",Active,Gas,Plugback,Vertical,No,Private,Private,L-11-23S-28E 2310 FSL 660 FWL,2988,,,Single,No C-129 Incidents: 7 STRAWN 04/18/11 PLUGBACK TO STRAWN Proposed: 12740 Measured Vertical Depth: 0,08/27/1988 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,05/10/2023 Current APD Expiration: 05/01/2010 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 05/10/2023,,3001525964,32.3191032,-104.0643768,NAD83
"Acacia Operating Company, LLC","Plugged, Not Released",Oil,New,Vertical,No,State,State,F-36-17S-27E 1980 FNL 2310 FWL,3616,3623,3622,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 1774,10/10/1988 Approved TA: Shut In: Plug & Abandoned Intent: 02/24/2026 Well Plugged: Site Release:,03/05/2026 Current APD Expiration: 10/01/1990 Gas Capture Plan: TA Expiration: PNR Expiration: 04/06/2027 Last MIT / BHT: 03/05/2026,,3001525969,32.7923622,-104.2332993,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,L-14-18S-31E 2080 FSL 760 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: SWEARINGEN DEEP 14 F Original Operator Name: SWEARINGEN DEEP 14 F ARCO OIL & GAS CO /SWEARINGEN DEEP 14 F Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526003,32.7460298734879,-103.846302167424,NAD83
PRIMERO OPERATING INC,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,G-20-16S-31E 1980 FNL 1980 FEL,,,,Single,No C-129 Incidents: 0 P&A 08-12-2008 Proposed: 0 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 08/12/2008 Site Release:,07/15/2008 Current APD Expiration: 02/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526004,32.9089737,-103.8899002,NAD83
"LH Operating, LLC",Active,Oil,New,Vertical,No,Federal,Federal,A-03-17S-31E Lot: 1 660 FNL 330 FEL,3990,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 4090,11/22/1988 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,05/03/2018 Current APD Expiration: 01/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526015,32.8690224,-103.8501205,NAD83
